term_id,name,slug,main_category,original_path,new_path,confidence,reason,count
209,Accesorii,accesorii-2,"Instalatii, trasee cabluri si scule",Accesorii,"Instalatii, trasee cabluri si scule > Accesorii",high,exact: accesorii generale de instalare,968
1026,Accesorii,accesorii-accesorii-2,"Instalatii, trasee cabluri si scule",Accesorii > Accesorii,"Instalatii, trasee cabluri si scule > Accesorii > Accesorii",high,exact: accesorii generale de instalare,4
1067,Componente de schimb,componente-de-schimb,"Instalatii, trasee cabluri si scule",Accesorii > Componente de schimb,"Instalatii, trasee cabluri si scule > Accesorii > Componente de schimb",high,exact: accesorii generale de instalare,9
3090,Dulie lampă,dulie-lampa,"Instalatii, trasee cabluri si scule",Accesorii > Dulie lampă,"Instalatii, trasee cabluri si scule > Accesorii > Dulie lampă",high,exact: accesorii generale de instalare,1
1201,End clamps,end-clamps,"Instalatii, trasee cabluri si scule",Accesorii > End clamps,"Instalatii, trasee cabluri si scule > Accesorii > End clamps",high,exact: accesorii generale de instalare,8
2962,Fierăstraie pentru doze (carote),fierastraie-pentru-doze-carote,"Instalatii, trasee cabluri si scule",Accesorii > Fierăstraie pentru doze (carote),"Instalatii, trasee cabluri si scule > Accesorii > Fierăstraie pentru doze (carote)",high,exact: accesorii generale de instalare,5
2038,Insert perie,insert-perie,"Instalatii, trasee cabluri si scule",Accesorii > Insert perie,"Instalatii, trasee cabluri si scule > Accesorii > Insert perie",high,exact: accesorii generale de instalare,1
2032,Inserturi perie,inserturi-perie,"Instalatii, trasee cabluri si scule",Accesorii > Inserturi perie,"Instalatii, trasee cabluri si scule > Accesorii > Inserturi perie",high,exact: accesorii generale de instalare,2
1823,Kituri de îmbinare,kituri-de-imbinare,"Instalatii, trasee cabluri si scule",Accesorii > Kituri de îmbinare,"Instalatii, trasee cabluri si scule > Accesorii > Kituri de îmbinare",high,exact: accesorii generale de instalare,6
1118,Mâner rotativ pentru kit conversie la jumătate cilindru rack DTWI,maner-rotativ-pentru-kit-conversie-la-jumatate-cilindru-rack-dtwi,"Instalatii, trasee cabluri si scule",Accesorii > Mâner rotativ pentru kit conversie la jumătate cilindru rack DTWI,"Instalatii, trasee cabluri si scule > Accesorii > Mâner rotativ pentru kit conversie la jumătate cilindru rack DTWI",high,exact: accesorii generale de instalare,1
1120,Mâner rotativ pentru încuietoare jumătate de cilindru,maner-rotativ-pentru-incuietoare-jumatate-de-cilindru,"Instalatii, trasee cabluri si scule",Accesorii > Mâner rotativ pentru încuietoare jumătate de cilindru,"Instalatii, trasee cabluri si scule > Accesorii > Mâner rotativ pentru încuietoare jumătate de cilindru",high,exact: accesorii generale de instalare,1
1059,Roți,roti,"Instalatii, trasee cabluri si scule",Accesorii > Roți,"Instalatii, trasee cabluri si scule > Accesorii > Roți",high,exact: accesorii generale de instalare,1
3001,"Set fixare M6, șurub+piuliță+șaibă",set-fixare-m6-surubpiulitasaiba,"Instalatii, trasee cabluri si scule","Accesorii > Set fixare M6, șurub+piuliță+șaibă","Instalatii, trasee cabluri si scule > Accesorii > Set fixare M6, șurub+piuliță+șaibă",high,exact: accesorii generale de instalare,2
1763,Seturi de împământare pentru dulapuri de cablare structurată,seturi-de-impamantare-pentru-dulapuri-de-cablare-structurata,"Instalatii, trasee cabluri si scule",Accesorii > Seturi de împământare pentru dulapuri de cablare structurată,"Instalatii, trasee cabluri si scule > Accesorii > Seturi de împământare pentru dulapuri de cablare structurată",high,exact: accesorii generale de instalare,2
1826,"Suport de montaj 19""",suport-de-montaj-19,"Instalatii, trasee cabluri si scule","Accesorii > Suport de montaj 19""","Instalatii, trasee cabluri si scule > Accesorii > Suport de montaj 19""",high,exact: accesorii generale de instalare,1
769,Universal marking tags for Phoenix-terminals,universal-marking-tags-for-phoenix-terminals,"Instalatii, trasee cabluri si scule",Accesorii > Universal marking tags for Phoenix-terminals,"Instalatii, trasee cabluri si scule > Accesorii > Universal marking tags for Phoenix-terminals",high,exact: accesorii generale de instalare,22
1997,"Zack Marker strip - ZB 3,5",zack-marker-strip-zb-35,"Instalatii, trasee cabluri si scule","Accesorii > Zack Marker strip - ZB 3,5","Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 3,5",high,exact: accesorii generale de instalare,11
1449,Zack Marker strip - ZB 4,zack-marker-strip-zb-4,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 4,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 4",high,exact: accesorii generale de instalare,11
1498,Zack Marker strip - ZB 5,zack-marker-strip-zb-5,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 5,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 5",high,exact: accesorii generale de instalare,16
309,Zack Marker strip - ZB 6,zack-marker-strip-zb-6,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 6,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 6",high,exact: accesorii generale de instalare,11
1949,Zack Marker strip - ZB 8,zack-marker-strip-zb-8,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 8,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 8",high,exact: accesorii generale de instalare,11
2001,Zack Marker strip - ZB 10,zack-marker-strip-zb-10,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 10,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 10",high,exact: accesorii generale de instalare,11
1671,Zack Marker strip - ZB 12 and ZB 16,zack-marker-strip-zb-12-and-zb-16,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZB 12 and ZB 16,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZB 12 and ZB 16",high,exact: accesorii generale de instalare,4
1965,"Zack Marker strip - ZBF 3,5",zack-marker-strip-zbf-35,"Instalatii, trasee cabluri si scule","Accesorii > Zack Marker strip - ZBF 3,5","Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 3,5",high,exact: accesorii generale de instalare,11
1639,Zack Marker strip - ZBF 4,zack-marker-strip-zbf-4,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 4,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 4",high,exact: accesorii generale de instalare,11
1838,Zack Marker strip - ZBF 5,zack-marker-strip-zbf-5,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 5,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 5",high,exact: accesorii generale de instalare,11
991,Zack Marker strip - ZBF 6,zack-marker-strip-zbf-6,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 6,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 6",high,exact: accesorii generale de instalare,11
1414,Zack Marker strip - ZBF 8,zack-marker-strip-zbf-8,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 8,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 8",high,exact: accesorii generale de instalare,11
210,Zack Marker strip - ZBF 10,zack-marker-strip-zbf-10,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 10,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 10",high,exact: accesorii generale de instalare,11
1644,Zack Marker strip - ZBF 12 and ZBF 16,zack-marker-strip-zbf-12-and-zbf-16,"Instalatii, trasee cabluri si scule",Accesorii > Zack Marker strip - ZBF 12 and ZBF 16,"Instalatii, trasee cabluri si scule > Accesorii > Zack Marker strip - ZBF 12 and ZBF 16",high,exact: accesorii generale de instalare,3
1640,"Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.)",accesorii-blocuri-de-contacte-auxiliare-contacte-de-nul-etc,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.)","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.)",high,keyword in root: contacte auxiliare,22
2341,Accesorii pentru seria BR,accesorii-pentru-seria-br,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Accesorii pentru seria BR","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Accesorii pentru seria BR",high,keyword in root: contacte auxiliare,7
1641,"Bloc bobină de declanşare, seria AMPARO",bloc-bobina-de-declansare-seria-amparo,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Bloc bobină de declanşare, seria AMPARO","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Bloc bobină de declanşare, seria AMPARO",high,keyword in root: contacte auxiliare,2
3025,"Bloc de contacte auxiliare H11 pentru întreruptoare automate seriile: BS, LS-FI, MP, A, FA, BMS0, B0LF, BMA, B-FA",bloc-de-contacte-auxiliare-h11-pentru-intreruptoare-automate-seriile-bs-ls-fi-mp-a-fa-bms0-b0lf-bma-b-fa,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Bloc de contacte auxiliare H11 pentru întreruptoare automate seriile: BS, LS-FI, MP, A, FA, BMS0, B0LF, BMA, B-FA","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Bloc de contacte auxiliare H11 pentru întreruptoare automate seriile: BS, LS-FI, MP, A, FA, BMS0, B0LF, BMA, B-FA",high,keyword in root: contacte auxiliare,1
2534,Contacte auxiliare seria AMPARO,contacte-auxiliare-seria-amparo,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Contacte auxiliare seria AMPARO","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Contacte auxiliare seria AMPARO",high,keyword in root: contacte auxiliare,1
3069,Dispozitiv blocabil cu lacăt pentru aparataj modular,dispozitiv-blocabil-cu-lacat-pentru-aparataj-modular,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Dispozitiv blocabil cu lacăt pentru aparataj modular","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Dispozitiv blocabil cu lacăt pentru aparataj modular",high,keyword in root: contacte auxiliare,1
1971,"Module de reconectare, telecomandate",module-de-reconectare-telecomandate,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Module de reconectare, telecomandate","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Module de reconectare, telecomandate",high,keyword in root: contacte auxiliare,9
2867,Modul mască,modul-masca,"Automatizari, control si masurare","Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Modul mască","Automatizari, control si masurare > Accesorii (Blocuri de contacte auxiliare, contacte de nul etc.) > Modul mască",high,keyword in root: contacte auxiliare,1
64,"Accesorii (Pigtailuri, cuplori, carcase …)",accesorii-pigtailuri-cuplori-carcase,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …)","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …)",high,keyword in root: pigtail,131
425,Casetă pentru suduri fibră optică CLASIC,caseta-pentru-suduri-fibra-optica-clasic,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Casetă pentru suduri fibră optică CLASIC","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Casetă pentru suduri fibră optică CLASIC",high,keyword in root: pigtail,6
400,Casetă pentru suduri fibră optică PREMIUM,caseta-pentru-suduri-fibra-optica-premium,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Casetă pentru suduri fibră optică PREMIUM","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Casetă pentru suduri fibră optică PREMIUM",high,keyword in root: pigtail,7
489,Cuplori fibră optică CLASIC,cuplori-fibra-optica-clasic,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Cuplori fibră optică CLASIC","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Cuplori fibră optică CLASIC",high,keyword in root: pigtail,26
2000,Cuplori fibră optică PREMIUM,cuplori-fibra-optica-premium,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Cuplori fibră optică PREMIUM","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Cuplori fibră optică PREMIUM",high,keyword in root: pigtail,13
3111,"Cutii de distribuţie fibră optică, carcasă goală",cutii-de-distributie-fibra-optica-carcasa-goala,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Cutii de distribuţie fibră optică, carcasă goală","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Cutii de distribuţie fibră optică, carcasă goală",high,keyword in root: pigtail,1
1075,Fibră optică - Unelte de curățare,fibra-optica-unelte-de-curatare,"Retelistica, date si telecomunicatii","Accesorii (Pigtailuri, cuplori, carcase …) > Fibră optică - Unelte de curățare","Retelistica, date si telecomunicatii > Accesorii (Pigtailuri, cuplori, carcase …) > Fibră optică - Unelte de curățare",high,keyword in root: pigtail,2
