term_id,parent_id,parent_slug,parent_path,path,name,slug,description,display_type,image_id,image_url,menu_order,count
,,,,Iluminat si surse de lumina,Iluminat si surse de lumina,iluminat-si-surse-de-lumina,"Corpuri de iluminat, surse de lumina, sisteme LED si iluminat de siguranta.",subcategories,,,0,15111
1987,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,accesorii-de-montaj-pentru-corpuri-de-iluminat-cu-pictograme-de-evacuare,,default,,,,2
1988,1987,accesorii-de-montaj-pentru-corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,"Iluminat si surse de lumina > Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare > Coș de protecție, policarbonat","Coș de protecție, policarbonat",cos-de-protectie-policarbonat,,default,,,,1
2856,1987,accesorii-de-montaj-pentru-corpuri-de-iluminat-cu-pictograme-de-evacuare,Iluminat si surse de lumina > Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,Iluminat si surse de lumina > Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare > Pendul,Pendul,pendul,,default,,,,1
62,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Benzi LED și accesorii,Benzi LED și accesorii,benzi-led-si-accesorii,,default,,,0,1389
63,62,benzi-led-si-accesorii,Iluminat si surse de lumina > Benzi LED și accesorii,Iluminat si surse de lumina > Benzi LED și accesorii > Benzi flexibile și plăci LED,Benzi flexibile și plăci LED,benzi-flexibile-si-placi-led,,default,,,0,580
2413,62,benzi-led-si-accesorii,Iluminat si surse de lumina > Benzi LED și accesorii,Iluminat si surse de lumina > Benzi LED și accesorii > Controlere,Controlere,controlere,,default,,,,16
158,62,benzi-led-si-accesorii,Iluminat si surse de lumina > Benzi LED și accesorii,Iluminat si surse de lumina > Benzi LED și accesorii > Profile de aluminiu și accesorii,Profile de aluminiu și accesorii,profile-de-aluminiu-si-accesorii,,default,,,0,793
866,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Componente de sistem,Componente de sistem,componente-de-sistem,,default,,,0,50
867,866,componente-de-sistem,Iluminat si surse de lumina > Componente de sistem,Iluminat si surse de lumina > Componente de sistem > EVG,EVG,evg,,default,,,0,50
868,867,evg,Iluminat si surse de lumina > Componente de sistem > EVG,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,Baterii,baterii,,default,,,0,50
869,868,baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Componente de sistem pentru grupe și sisteme centrale de baterii,Componente de sistem pentru grupe și sisteme centrale de baterii,componente-de-sistem-pentru-grupe-si-sisteme-centrale-de-baterii,,default,,,0,26
1924,868,baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Componente de sistem pentru sistemele SECURO LPS,Componente de sistem pentru sistemele SECURO LPS,componente-de-sistem-pentru-sistemele-securo-lps,,default,,,,1
1925,1924,componente-de-sistem-pentru-sistemele-securo-lps,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Componente de sistem pentru sistemele SECURO LPS,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Componente de sistem pentru sistemele SECURO LPS > CPS,CPS,cps,,default,,,,1
945,868,baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,"Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Module de corpuri de iluminat, componente de rețea și EVG-uri","Module de corpuri de iluminat, componente de rețea și EVG-uri",module-de-corpuri-de-iluminat-componente-de-retea-si-evg-uri,,default,,,0,17
1129,868,baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,"Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Module de iluminat, surse de alimentare și balasturi electronice SECURO","Module de iluminat, surse de alimentare și balasturi electronice SECURO",module-de-iluminat-surse-de-alimentare-si-balasturi-electronice-securo,,default,,,0,2
3165,868,baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii,Iluminat si surse de lumina > Componente de sistem > EVG > Baterii > Photoluminescent pictograms series Navilux,Photoluminescent pictograms series Navilux,photoluminescent-pictograms-series-navilux,,default,,,0,4
94,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Construction Site Lighting,Construction Site Lighting,construction-site-lighting,,default,,,0,12
66,,iluminat-si-surse-de-lumina,Iluminat si surse de lumina,Iluminat si surse de lumina > Controlere și alimentări,Controlere și alimentări,controlere-si-alimentari,,default,,,0,714
67,66,controlere-si-alimentari,Iluminat si surse de lumina > Controlere și alimentări,Iluminat si surse de lumina > Controlere și alimentări > Alimentări 12VDC,Alimentări 12VDC,alimentari-12vdc,,default,,,0,274
68,67,alimentari-12vdc,Iluminat si surse de lumina > Controlere și alimentări > Alimentări 12VDC,Iluminat si surse de lumina > Controlere și alimentări > Alimentări 12VDC > 24VDC,24VDC,24vdc,,default,,,0,274
69,68,24vdc,Iluminat si surse de lumina > Controlere și alimentări > Alimentări 12VDC > 24VDC,Iluminat si surse de lumina > Controlere și alimentări > Alimentări 12VDC > 24VDC > 48VDC,48VDC,48vdc,,default,,,0,274
1929,66,controlere-si-alimentari,Iluminat si surse de lumina > Controlere și alimentări,Iluminat si surse de lumina > Controlere și alimentări > Balasturi electronice,Balasturi electronice,balasturi-electronice,,default,,,,3
