main_category,main_slug,root_term_id,root_name,root_slug,root_path,root_count,subtree_rows,subtree_count_sum,confidence,reason
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,1987,Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,accesorii-de-montaj-pentru-corpuri-de-iluminat-cu-pictograme-de-evacuare,Accesorii de montaj pentru corpuri de iluminat cu pictograme de evacuare,2,3,4,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,62,Benzi LED și accesorii,benzi-led-si-accesorii,Benzi LED și accesorii,1389,4,2778,high,keyword in root: benzi led
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,866,Componente de sistem,componente-de-sistem,Componente de sistem,50,9,201,high,exact: componente iluminat de siguranta
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,94,Construction Site Lighting,construction-site-lighting,Construction Site Lighting,12,1,12,high,keyword in root: construction site lighting
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,66,Controlere și alimentări,controlere-si-alimentari,Controlere și alimentări,714,8,1976,high,"exact: controlere, drivere LED si dimmere"
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,2677,Corpuri de iluminat,corpuri-de-iluminat,Corpuri de iluminat,3,3,6,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,370,Corpuri de iluminat AM,corpuri-de-iluminat-am,Corpuri de iluminat AM,130,24,632,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,111,Corpuri de iluminat cu pictograme de evacuare,corpuri-de-iluminat-cu-pictograme-de-evacuare,Corpuri de iluminat cu pictograme de evacuare,300,44,722,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,984,Corpuri de iluminat EXIT Gama SECURO,corpuri-de-iluminat-exit-gama-securo,Corpuri de iluminat EXIT Gama SECURO,13,7,35,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,60,Corpuri de iluminat pentru exterior,corpuri-de-iluminat-pentru-exterior,Corpuri de iluminat pentru exterior,1026,13,2052,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,480,Corpuri de iluminat pentru iluminarea căilor de evacuare,corpuri-de-iluminat-pentru-iluminarea-cailor-de-evacuare,Corpuri de iluminat pentru iluminarea căilor de evacuare,99,27,222,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,1144,Corpuri de iluminat pentru iluminarea căilor de evacuare SECURO,corpuri-de-iluminat-pentru-iluminarea-cailor-de-evacuare-securo,Corpuri de iluminat pentru iluminarea căilor de evacuare SECURO,18,6,36,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,34,Corpuri de iluminat pentru interior,corpuri-de-iluminat-pentru-interior,Corpuri de iluminat pentru interior,4817,12,9634,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,38,Corpuri de iluminat încastrate,corpuri-de-iluminat-incastrate,Corpuri de iluminat încastrate,2644,4,5288,high,keyword in root: corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,484,Grupuri și sisteme cu baterii centrale,grupuri-si-sisteme-cu-baterii-centrale,Grupuri și sisteme cu baterii centrale,71,13,142,high,exact: iluminat de siguranta cu baterii centrale
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,500,liber,liber,liber,38,5,114,high,exact: subarbore cu corpuri de iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,453,Sisteme cu baterie centrală serie MaxiControl MCX,sisteme-cu-baterie-centrala-serie-maxicontrol-mcx,Sisteme cu baterie centrală serie MaxiControl MCX,23,4,46,high,exact: iluminat de siguranta cu baterii centrale
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,492,Sisteme de iluminat modulare,sisteme-de-iluminat-modulare,Sisteme de iluminat modulare,77,3,154,high,keyword in root: iluminat
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,47,Sisteme de șiruri luminoase și baghete,sisteme-de-siruri-luminoase-si-baghete,Sisteme de șiruri luminoase și baghete,259,7,518,high,keyword in root: siruri luminoase
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,95,Surse de lumină,surse-de-lumina,Surse de lumină,512,14,1024,high,keyword in root: surse de lumina
Iluminat si surse de lumina,iluminat-si-surse-de-lumina,44,Șine de alimentare și spoturi pentru șine,sine-de-alimentare-si-spoturi-pentru-sine,Șine de alimentare și spoturi pentru șine,2914,23,6188,high,keyword in root: spot
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,757,"Accesorii (Scule, conectori, kit-uri de prelungire",accesorii-scule-conectori-kit-uri-de-prelungire,"Accesorii (Scule, conectori, kit-uri de prelungire",26,20,94,high,keyword in root: conectori
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,931,Accesorii de împământare,accesorii-de-impamantare,Accesorii de împământare,5,3,10,high,keyword in root: impamantare
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1427,Alte cabluri şi conductoare,alte-cabluri-si-conductoare,Alte cabluri şi conductoare,38,2,76,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,273,Barete de alimentare pentru aparate modulare,barete-de-alimentare-pentru-aparate-modulare,Barete de alimentare pentru aparate modulare,184,11,368,high,keyword in root: baret
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1788,Benzi izolatoare şi adezive,benzi-izolatoare-si-adezive,Benzi izolatoare şi adezive,16,5,32,high,keyword in root: izolatoare
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1720,Bucşe de sertizare,bucse-de-sertizare,Bucşe de sertizare,52,3,104,high,keyword in root: bucse
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,221,"Bucşe sertizare, coliere , presetupe, papuci, tuburi termocontractibile",bucse-sertizare-coliere-presetupe-papuci-tuburi-termocontractibile,"Bucşe sertizare, coliere , presetupe, papuci, tuburi termocontractibile",250,6,500,high,keyword in root: bucse
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1718,Cable ties,cable-ties,Cable ties,30,2,60,high,keyword in root: cable ties
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,680,Cablu universal interior,cablu-universal-interior,Cablu universal interior,24,31,120,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,1736,Cabluri BUS,cabluri-bus,Cabluri BUS,7,3,14,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,126,Cabluri cu izolație fără halogen și rezistente la foc,cabluri-cu-izolatie-fara-halogen-si-rezistente-la-foc,Cabluri cu izolație fără halogen și rezistente la foc,119,16,354,high,keyword in root: cablu
"Cabluri, conductori si conectica",cabluri-conductori-si-conectica,30,Cabluri cu izolație și manta din PVC,cabluri-cu-izolatie-si-manta-din-pvc,Cabluri cu izolație și manta din PVC,355,12,753,high,keyword in root: cablu
